Place,Name,Year,Team,AverageMile,Time
1,"Kithuka, Kennedy",SR-4,Texas Tech,04:43.8,29:23.6
2,"Rotich, Anthony",SO-2,UTEP,04:46.4,29:39.5
3,"Zienasellassie, Futsum",SO-2,Northern Arizona,04:47.3,29:45.2
4,"Ward, Jared",SR-4,BYU,04:47.4,29:45.6
5,"Murphy, Pierce",SO-2,Colorado,04:47.4,29:46.0
6,"Caldwell, Luke",SR-4,New Mexico,04:47.4,29:46.1
7,"Saarel, Ben",FR-1,Colorado,04:47.5,29:46.4
8,"Bitchell, Adam",SR-4,New Mexico,04:47.6,29:47.2
9,"McElroy, Matt",JR-3,Northern Arizona,04:47.9,29:48.8
10,"Hardin, Josh",SR-4,Northern Arizona,04:47.9,29:49.0
11,"Shrader, Brian",SR-4,Northern Arizona,04:47.9,29:49.1
12,"Barrus, Ryan",SR-4,Southern Utah,04:48.0,29:49.5
13,"Bragg, Isaiah",SR-4,Air Force,04:48.0,29:49.6
14,"Zans, Garrett",SR-4,Wyoming,04:48.2,29:50.7
15,"Winter, Connor",JR-3,Colorado,04:48.2,29:51.1
16,"Pearson, Morgan",SO-2,Colorado,04:48.6,29:53.4
17,"Zacharias, Pat",JR-3,New Mexico,04:48.7,29:54.2
18,"Thatcher, Tylor",SR-4,BYU,04:49.2,29:57.0
19,"Witt, Jason",SR-4,BYU,04:49.5,29:59.1
20,"Meyer, Christian",SR-4,Colorado St.,04:49.6,29:59.6
21,"Corona, Patrick",SO-2,Air Force,04:49.7,30:00.4
22,"Boit, Cosmas",FR-1,UTEP,04:50.1,30:02.8
23,"Stam, Sean",SR-4,New Mexico,04:50.4,30:04.5
24,"Muntefering, Alex",SR-4,Colorado St.,04:50.7,30:06.2
25,"Engholm, Elmar",SO-2,New Mexico,04:50.8,30:07.1
26,"Theroux, Blake",SR-4,Colorado,04:50.9,30:07.4
27,"Moussa, Ammar",SO-2,Colorado,04:51.0,30:08.0
28,"Weitz, Nathan",SO-2,Northern Arizona,04:51.0,30:08.4
29,"Larson, Ben",SR-4,Colorado St.,04:51.6,30:11.8
30,"Derner, Aaron",SO-2,Wyoming,04:51.8,30:13.1
31,"Tate, Mike",FR-1,Southern Utah,04:52.0,30:14.3
32,"Farnsworth, Taylor",SR-4,BYU,04:52.2,30:15.7
33,"Perkins, Zach",JR-3,Air Force,04:52.3,30:16.2
34,"Morgan, Jacob",SO-2,Colorado St.,04:52.5,30:17.8
35,"Garbett, Seth",SR-4,Montana State,04:52.5,30:17.9
36,"Carr, Curtis",SR-4,BYU,04:52.6,30:18.0
